51,Brunei Darussalam,"0,829",,"74,6",,"14,0",,"9,2",,64.490,,-42,,49,VERY HIGH HUMAN DEVELOPMENT
52,Russian Federation,"0,822",,"69,4",,"15,8",,"12,8",i,27.166,,-1,,49,VERY HIGH HUMAN DEVELOPMENT
53,Romania,"0,821",,"74,2",,"14,2",,"11,3",,30.027,,-4,,53,VERY HIGH HUMAN DEVELOPMENT
54,Oman,"0,816",,"72,5",,"14,6",,"11,7",,27.054,,-2,,51,VERY HIGH HUMAN DEVELOPMENT
55,Bahamas,"0,812",,"71,6",,"12,9",l,"12,6",e,30.486,,-8,,58,VERY HIGH HUMAN DEVELOPMENT
56,Kazakhstan,"0,811",,"69,4",,"15,8",,"12,3",e,23.943,,1,,59,VERY HIGH HUMAN DEVELOPMENT
57,Trinidad and Tobago,"0,810",,"73,0",,"14,5",m,"11,6",e,23.392,,1,,56,VERY HIGH HUMAN DEVELOPMENT
58,Costa Rica,"0,809",,"77,0",,"16,5",,"8,8",,19.974,,8,,57,VERY HIGH HUMAN DEVELOPMENT
58,Uruguay,"0,809",,"75,4",,"16,8",,"9,0",,21.269,,5,,55,VERY HIGH HUMAN DEVELOPMENT
60,Belarus,"0,808",,"72,4",,"15,2",,"12,1",,18.849,,8,,60,VERY HIGH HUMAN DEVELOPMENT
61,Panama,"0,805",,"76,2",,"13,1",e,"10,5",,26.957,,-8,,67,VERY HIGH HUMAN DEVELOPMENT
62,Malaysia,"0,803",,"74,9",,"13,3",,"10,6",,26.658,,-8,,61,VERY HIGH HUMAN DEVELOPMENT
63,Georgia,"0,802",,"71,7",,"15,6",,"12,8",,14.664,,17,,64,VERY HIGH HUMAN DEVELOPMENT
63,Mauritius,"0,802",,"73,6",,"15,2",e,"10,4",e,22.025,,-1,,62,VERY HIGH HUMAN DEVELOPMENT
63,Serbia,"0,802",,"74,2",,"14,4",,"11,4",,19.123,,4,,62,VERY HIGH HUMAN DEVELOPMENT
66,Thailand,"0,800",,"78,7",,"15,9",m,"8,7",,17.030,,6,,64,VERY HIGH HUMAN DEVELOPMENT
